,Course Title,freshman fall,freshman spring,sophomore fall,sophomore spring,junior fall,junior spring,senior fall,senior spring
ENGR3235/SCI2235,ENGR3235_or_SCI2235: Biomimicry,0.09391171209719507,0.5568318593129988,0.12814878723539164,0.5251269213502276,0.15750886215901488,0.49793828592274403,0.18268665541504764,0.47462261511851056
ENGR3240,ENGR3240: Tell the Story of What You Make,0.30543327565107137,0.7552752519378301,0.4517405374400522,0.6565531777938188,0.5183540999121078,0.6116051077325536,0.5486831939772983,0.5911402925455748
ENGR3250,Integrated Product Design,4.4460584550103206e-10,6.699403021848067e-10,4.621374511553604e-10,6.537727009590164e-10,4.770471710378426e-10,6.400229959861181e-10,4.89727113272295e-10,6.283295861721646e-10
ENGR3252,"ENGR3252: Technology, Accessibilty and Design",0.058802957332948796,0.12938164499706536,0.07235822032799172,0.1184297904946714,0.08120667403084272,0.11128076081075959,0.08698266915245192,0.10661409678502035
ENGR3260,Design for Manufacturing,0.9272335473040587,0.07043041400979289,0.8589347380702645,0.13328488350965184,0.8010906207213796,0.1865180416047827,0.7521008660037234,0.23160264964188582
ENGR3260L,Design for Manufacturing LAB,0.9432309075217344,0.055027384431669324,0.8899791614648302,0.1050864518013247,0.8429213575152301,0.14932293140264752,0.8013370513369372,0.18841407373392594
ENGR3290,Affordable Design and Entrepreneurship,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENGR3299,ENGR3299: Specials Topics in Design: Introduction to Architecture and Urbanism: Public Space as Public Sphere,-0.05251378917899546,0.6445081943926216,0.39729390035314244,0.4849739285558092,0.4538762633682423,0.46490573952081266,0.46099389136544844,0.462381315009051
ENGR3299/SCI2299,Special Topics in Design Engineering or Biological Sciences: Biomimicry,0.049828132308448826,0.050162413875240994,0.04984444531608687,0.05014689694565401,0.04985920501639167,0.05013285752169026,0.04987255931364457,0.050120154916827045
ENGR3299A,"Special Topics in Design Engineering: Technology, Accessibility and Design",0.8002192474813353,0.2837976613715604,0.5992454364481712,0.4065592639928782,0.5242584966042158,0.4523638236197703,0.4962795220390517,0.46945432779871443
ENGR3299B,Special Topics in Design Engineering: Return Design,0.049828132308448826,0.050162413875240994,0.04984444531608687,0.05014689694565401,0.04985920501639167,0.05013285752169026,0.04987255931364457,0.050120154916827045
ENGR3299C,Special Topics in Design Engineering: Quantitative Engineering Design,0.049828132308448826,0.050162413875240994,0.04984444531608687,0.05014689694565401,0.04985920501639167,0.05013285752169026,0.04987255931364457,0.050120154916827045
ENGR3310,Transport Phenomena,0.19149159738109825,0.24398887783016526,0.19613681630816604,0.23975469084029133,0.1999963414988409,0.23623667552044897,0.20320306542968833,0.2333136983774357
